"source1","source2","p","w1","z1","w2","z2","admissible"
"Crete_Lasithi_EMBA","Crete_Chania_LBA",0.858043789778856,-46.6380797716073,-2.2091930204402,146.638079771607,6.94607976890607,FALSE
"Crete_Chania_LBA","Khvalynsk_Eneo",0.644240502000604,93.2796117399701,38.1784271106056,6.72038826002992,2.75058877877578,TRUE
"Crete_Chania_LBA","Yamnaya_Samara",0.583904702965928,91.5691214916966,29.7308002370195,8.43087850830335,2.73735032803254,TRUE
"Crete_Chania_LBA","Iran_GanjDareh",0.222216825178949,103.958957382777,51.8118317601246,-3.95895738277722,-1.97309437326021,FALSE
"Crete_Chania_LBA","Turkey_N_BIN",0.0662967533862611,126.79785508286,3.70987344965954,-26.7978550828603,-0.784056252487554,FALSE
"Yamnaya_Samara","Khvalynsk_Eneo",0.000382821544074536,417.943369588731,10.3870606748739,-317.943369588731,-7.90178122538891,FALSE
"Yamnaya_Samara","Turkey_N_BIN",2.409801291647e-05,11.6177426762604,3.76387674348706,88.3822573237396,28.6337830116918,FALSE
"Khvalynsk_Eneo","Turkey_N_BIN",8.26862114723192e-06,8.51973901322655,3.38416533396911,91.4802609867735,36.337301822658,FALSE
"Crete_Lasithi_EMBA","Khvalynsk_Eneo",3.54518983065516e-06,83.4878571629899,38.2526501958143,16.5121428370101,7.56556995701014,FALSE
"Crete_Lasithi_EMBA","Yamnaya_Samara",2.72976381528138e-06,79.6734324806187,30.2568411577516,20.3265675193813,7.71923219030188,FALSE
"Crete_Lasithi_EMBA","Iran_GanjDareh",5.84032416390067e-07,115.348540792583,46.0305459522381,-15.3485407925828,-6.12492977716292,FALSE
"Crete_Lasithi_EMBA","Turkey_N_BIN",2.57256918264094e-08,-19.4779558741427,-0.484542996849919,119.477955874143,2.97219108467189,FALSE
"Turkey_N_BIN","Iran_GanjDareh",1.69301227881319e-08,100.626768222128,49.3156591152757,-0.626768222128022,-0.307169638187346,FALSE
"Yamnaya_Samara","Iran_GanjDareh",1.2380208610764e-86,72.4242353224248,22.0213732005278,27.5757646775752,8.38470993240559,FALSE
"Khvalynsk_Eneo","Iran_GanjDareh",7.22257015655599e-95,60.9512792039248,21.1473355977136,39.0487207960752,13.5481390074394,FALSE
