"loss","rep","n","chisq","p","chisq_ratio","n_ratio"
0.177,1,915895,17.645755723044,0.00342476090334225,1.2663074141309,1.01986288175472
0.177,2,915790,16.8789170308709,0.00473525202477614,1.21127698434471,1.01974596267275
0.177,3,915977,16.3883136901489,0.00581858813557717,1.17606995453514,1.01995418999017
0.177,4,915794,19.3314642906354,0.00166711740188134,1.38727844482568,1.01975041673301
0.177,5,915631,21.2257158492431,0.000734247422322298,1.52321508763897,1.01956891377719
0.177,6,915645,20.7449613304189,0.000905025155537841,1.48871483607032,1.01958450298812
0.177,7,916027,17.2141578862327,0.00411104867464447,1.23533477973342,1.02000986574349
0.177,8,915825,16.4506472376014,0.00566857950688959,1.18054317940162,1.01978493570007
0.177,9,915852,17.6672836022664,0.00339363767867909,1.26785231328386,1.01981500060687
0.177,10,915734,20.1007408304596,0.00119647955450274,1.44248382118846,1.01968360582903
0.177,11,915764,18.9689549034122,0.00194789741754486,1.36126378544029,1.01971701128102
0.177,12,915904,19.6278176509339,0.00146745429154477,1.40854556782334,1.01987290339032
0.177,13,915895,17.5347729736229,0.003589695864911,1.25834299024119,1.01986288175472
0.177,14,915829,17.5816725808553,0.00351906966094462,1.26170863358854,1.01978938976034
0.177,15,915887,19.7584011366302,0.00138712048031069,1.41791659384771,1.01985397363419
0.177,16,915706,19.9945692618587,0.00125266651621546,1.43486466071728,1.01965242740717
0.177,17,915989,16.0838120194243,0.00660881630184641,1.1542180866239,1.01996755217096
0.177,18,915986,19.0418057672918,0.00188797503252524,1.36649176153293,1.01996421162577
0.177,19,915862,20.087531760277,0.00120333253313961,1.44153590239323,1.01982613575753
0.177,20,915928,21.0272050367228,0.000800528463835226,1.50896941192946,1.01989962775191
0.3,1,778971,22.2945219881206,0.000460217414359635,1.59991552252948,0.867395944800831
0.3,2,779217,21.0015690179035,0.000809506895131893,1.50712970150792,0.867669869507169
0.3,3,778569,20.4227554074558,0.00104080036352455,1.46559246287594,0.866948311744132
0.3,4,778680,20.4043691926895,0.00104912588982396,1.46427301810736,0.867071911916504
0.3,5,778723,18.0434835131311,0.00289239848191397,1.29484944187389,0.86711979306436
0.3,6,779151,16.6716178186292,0.00516658686550118,1.19640062917323,0.867596377512786
0.3,7,778828,21.553439960304,0.00063646396084862,1.54673346101665,0.867236712146334
0.3,8,778792,24.0859288085516,0.000209011330763002,1.72847174726934,0.867196625603943
0.3,9,778745,15.1717264750114,0.00965323407058181,1.08876434775664,0.867144290395821
0.3,10,779003,19.0083701130847,0.00191524890432975,1.3640923280667,0.867431577282956
0.3,11,779001,18.2430959238581,0.00265667254030801,1.30917417126625,0.867429350252824
0.3,12,778741,23.0909404091121,0.000324316795640187,1.65706867409073,0.867139836335556
0.3,13,778879,18.6965577400576,0.00218895049931281,1.34171582427852,0.867293501414721
0.3,14,778890,20.0625922348591,0.00121637680999447,1.43974617423212,0.867305750080451
0.3,15,779059,20.1527162683096,0.00116988505349777,1.44621371994345,0.867493934126676
0.3,16,778832,14.8073571448813,0.0112179793521363,1.06261621381058,0.867241166206599
0.3,17,778728,16.8578825324691,0.00477736409947633,1.20976749154107,0.867125360639692
0.3,18,778819,20.07002179382,0.00121247640237325,1.44027933958608,0.867226690510736
0.3,19,778729,17.7880041901543,0.00322417191843041,1.27651555094169,0.867126474154759
0.3,20,778859,14.4923770652727,0.0127664944249405,1.04001238678428,0.867271231113393
0.5,1,556153,13.8180139580188,0.0168076900054544,0.991618256437306,0.619284744732239
0.5,2,556174,18.7533753357645,0.00213636833383225,1.34579320944842,0.619308128548633
0.5,3,556442,15.2031639001816,0.00952862380881681,1.09102038287347,0.619606550586433
0.5,4,556359,16.5429943614787,0.00545325254035572,1.18717026012714,0.61951412883592
0.5,5,556581,12.7636434393591,0.0256972831662666,0.915953760907864,0.619761329180665
0.5,6,556301,19.5373616456289,0.00152576550130313,1.40205419890902,0.619449544962068
0.5,7,556485,15.3424868404202,0.00899492888342333,1.10101857592067,0.619654431734289
0.5,8,556060,12.8426904607291,0.0248983810117054,0.921626390110994,0.619181187831062
0.5,9,556450,15.6209370370966,0.00801391994961162,1.1210009192134,0.619615458706964
0.5,10,556522,21.7080950156442,0.000594894133000723,1.55783192833558,0.619695631791746
0.5,11,556620,15.8333923508811,0.00733619979581717,1.13624729025238,0.619804756268255
0.5,12,556408,11.6132763340105,0.0404887306780856,0.833400289277696,0.619568691074175
0.5,13,556245,18.9679116919744,0.00194876891353123,1.36118892175075,0.619387188118349
0.5,14,556409,17.0013137971005,0.00449730599975553,1.22006050911831,0.619569804589241
0.5,15,556436,22.9591938733987,0.000343683604828825,1.6476141844345,0.619599869496034
0.5,16,556557,15.955598823275,0.00697199124293699,1.14501715902287,0.61973460481907
0.5,17,556440,17.4770807898052,0.00367847885680086,1.25420284225023,0.6196043235563
0.5,18,556557,16.286710234974,0.00607143675917956,1.1687786143053,0.61973460481907
0.5,19,556139,5.59345341252856,0.347807155681139,0.401401426952251,0.619269155521309
0.5,20,556552,13.9285289018675,0.0160698405743775,0.999549109327051,0.619729037243738
