panel,n_anf,basis,w_anf,w_iran,w_steppe,p
"Turkey_N_QC (34, Kumtepe IN)",34,122704,60.146889943190565,26.181408104783927,13.671701952025503,0.7749433840416329
"Turkey_N_QC (33, Kumtepe OUT)",33,122702,60.04320829034335,26.244454345931207,13.712337363725455,0.7668912649096482
