"added","rep","n","chisq","p","exhibit_chisq","null_min","null_max","null_median","outside_null","naive_prediction"
"Turkey_Epipaleolithic",1,925333,18.1763222144559,0.0027333511886826,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",2,925375,20.8873685994151,0.000850723234504511,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",3,925419,17.698974131537,0.00334832524670651,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",4,925632,18.5621209187592,0.00231847434295312,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",5,925466,16.2050331049294,0.00628243409620844,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",6,925730,17.9660234028041,0.00298928949623982,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",7,925553,17.182919832725,0.00416563674731702,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",8,925432,16.7777822961953,0.00494110256248444,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",9,925524,18.4515337838111,0.00243063040498124,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",10,925440,17.8148305603303,0.0031876539911407,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",11,925502,20.4292770155468,0.00103786294323999,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",12,925328,18.2329630204837,0.00266817132965053,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",13,925316,20.2186685470701,0.0011369748434685,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",14,925353,18.8795035086246,0.00202403237198879,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",15,925617,17.4680931985695,0.00369250195986092,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",16,925622,17.9803669608077,0.00297111114356443,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",17,925593,20.6528520297869,0.000941951001484903,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",18,925552,21.0870440554489,0.000779951226435681,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",19,925564,19.2859119841157,0.00170008645890775,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Turkey_Epipaleolithic",20,925629,19.4367146113684,0.00159332463308493,10.2243836542904,16.2050331049294,21.0870440554489,18.3422484021474,TRUE,11.5901881638522
"Israel_Natufian",1,792205,18.1247838612998,0.00279401361562188,11.9428120215504,13.4140503255066,23.0792530266215,18.6976708676724,TRUE,9.91997885489026
"Israel_Natufian",2,792137,14.5854300195207,0.0122886822290281,11.9428120215504,13.4140503255066,23.0792530266215,18.6976708676724,TRUE,9.91997885489026
"Israel_Natufian",3,791940,18.7397408483258,0.00214887228163928,11.9428120215504,13.4140503255066,23.0792530266215,18.6976708676724,TRUE,9.91997885489026
"Israel_Natufian",4,792133,18.6645486053314,0.00221913054894052,11.9428120215504,13.4140503255066,23.0792530266215,18.6976708676724,TRUE,9.91997885489026
"Israel_Natufian",5,792050,21.5521677836095,0.000636817518321907,11.9428120215504,13.4140503255066,23.0792530266215,18.6976708676724,TRUE,9.91997885489026
"Israel_Natufian",6,792024,20.4126639362047,0.00104536183371873,11.9428120215504,13.4140503255066,23.0792530266215,18.6976708676724,TRUE,9.91997885489026
"Israel_Natufian",7,792257,22.8915460199857,0.000354067300011545,11.9428120215504,13.4140503255066,23.0792530266215,18.6976708676724,TRUE,9.91997885489026
"Israel_Natufian",8,792357,21.7465094934985,0.000584990977662588,11.9428120215504,13.4140503255066,23.0792530266215,18.6976708676724,TRUE,9.91997885489026
"Israel_Natufian",9,792289,20.3346537554539,0.0010812936735401,11.9428120215504,13.4140503255066,23.0792530266215,18.6976708676724,TRUE,9.91997885489026
