target,w_anf,z_anf,w_iran,z_iran,se_iran,w_steppe,z_steppe,se_steppe,p_model,E_low,E_high
Greece_Mycenaean_POOL,88.8,18.94586034207281,7.98,3.2500800261530647,2.46,3.22,0.8790107784155958,3.67,6.686279018047981e-4,7.98,11.2
Greece_Minoan_POOL,93.81,22.297341594937773,10.79,4.431542492466783,2.43,-4.59,-1.5085538796730782,3.05,2.0448146136699633e-5,10.79,6.19
MyDNA,59.99,6.360698937187161,26.39,4.332079573091496,6.09,13.62,2.314077425150989,5.88,0.7521832217849405,26.39,40.01
Turkey_EBA_WEST,83.75,15.70756929214725,27.54,9.344885780257917,2.95,-11.29,-2.7199861075321703,4.15,0.9185038191877298,27.54,16.25
Turkey_MLBA_QC,93.52,17.39240425745681,30.15,9.063928802709475,3.33,-23.67,-4.7792133306588935,4.95,0.04383163490718057,30.15,6.48
