"run","basis","p","w_lasithi","w_yamnaya","admissible"
"full basis",970005,8.43619797980466e-07,79.2829225651232,20.7170774348768,FALSE
"~500k subsample",452112,6.1857228366125e-07,86.7638326090065,13.2361673909935,FALSE
"~250k subsample",225939,1.89258455009817e-09,86.0241012085516,13.9758987914484,FALSE
"~120k subsample (rep A)",108607,0.00109797127002276,90.3795963949384,9.62040360506163,FALSE
"~120k subsample (rep B)",108442,2.0691094801819e-05,88.3755215716038,11.6244784283962,FALSE
